"Table 3.12 refinery throughput and output of petroleum products, monthly data (thousand tonnes)",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
October 2011,6122.44,372.44,11.54,5060.03,185.15,41.15,186.14,1666.25,522.76,222.08,728.94,1391.23,487.47,36.09,130.17
November 2011,5854.8,315.75,109.36,4544.47,171.93,30.47,186.48,1576.86,465.06,237.45,640.13,1390.01,474.18,36.8,121.64
December 2011,6198.5,383,33.48,5040.79,184.42,31.76,172.08,1670.94,427,287.95,651.14,1460.28,604.76,34.36,103.52
January 2012,6527.57,425.05,50.4,4921.17,221.48,25.7,199.39,1789.07,540.8,194.8,832.52,1465.05,549.55,66.43,44.17
February 2012,6293.55,390.6,51.02,4295.9,219.94,21.82,240.03,1672.57,434.91,278.6,752.26,1341.52,553.97,32.27,121.21
March 2012,6631.18,413.9,121.08,4461.85,203.6,18.55,222.08,1719.03,517.37,196.61,844.22,1432.67,693.6,20.03,137.76
April 2012,6553.84,400.38,17.47,3536.83,252.04,21.69,208.26,1728.16,590.3,161.21,774.73,1447.8,665.94,37.39,68.25
May 2012,6508.9,393.92,10.52,4267.04,235.67,22.59,200.44,1752.11,608.1,190.33,931.3,1183.71,649.2,18.64,121.44
June 2012,6076.01,376.04,17.87,4518.31,263.42,27.03,218.68,1536.98,561.48,96.51,696.64,1356.54,657.44,35.02,110.05
July 2012,6387.94,385.79,52.15,4283.17,270.11,28.46,187.96,1619.19,542.87,170.1,741.16,1463.39,623.68,52.71,119.38
August 2012,6205.35,357.63,33.96,4455.97,248.81,33.62,212.42,1564.69,575.53,112.92,778.25,1409.98,567.14,48.16,124.67
September 2012,5600.18,336.59,56.74,4725.26,174.59,24.62,153.87,1509.97,414.12,171.86,781.54,1194.73,526.29,34.29,123.42
October 2012,4453.89,240.68,19.46,5063.57,91.74,17.61,135.88,1197.8,272.74,192.44,554.29,946.82,521.03,20.87,98.39
November 2012,4767.9,252.15,8.97,4913.72,148.33,21.17,164.24,1165.93,329.41,286.98,602.51,1070.06,445.51,62.97,82.1
December 2012,5832.8,326.41,11.54,5060.03,182.35,21.91,184.94,1394.77,387.72,215.17,651.15,1459.22,704.59,28.54,70.99
January 2013,5732.29,342.08,-97.33,5487.53,191.56,26.48,152.29,1522.85,364.02,309.61,849.25,1295.35,518.92,43.13,16.37
February 2013,5119.91,289.56,68.35,4762,180.97,24.11,191.35,1401.38,309.2,296.23,602.1,1117.05,446.38,10.97,51.47
March 2013,5818.81,298.42,32.08,5488.31,224.55,47.51,225.83,1511.21,369.85,301.78,700.42,1235.37,607,31.55,90.86
April 2013,5946.22,343.56,66.38,5536.28,240.08,33.89,181.78,1557.35,402.43,286.41,719.19,1344.49,516.22,36.85,59.27
May 2013,5698.13,320.9,51.81,5325.42,229.26,29.14,185.05,1491.53,387.95,220.42,629.78,1347.5,576.91,51.63,63.7
June 2013,5747.55,333.73,31.89,5381.93,238,31.03,137.82,1517.43,452.18,165.68,723.66,1340.46,553.65,11.4,71.53
July 2013,5954.94,352.29,39.29,5563.36,236.27,30.77,149.2,1557.64,512.55,144.17,664.7,1485.6,466.16,46.86,104.01
August 2013,5904.5,345.35,-179.3,5738.45,217.47,32.19,125.97,1630.03,544.42,122.88,991.9,1376.53,446.57,14.26,97.89
September 2013,5110.04,300.88,57.62,4751.54,154.81,29.7,96.52,1458,332.2,226.99,663.23,1070.9,537.08,22.46,57.18
October 2013,4724.07,264.19,31.53,4428.35,118.15,19.58,90.21,1318.01,241.32,174.82,631.29,1003.81,566.06,66.27,74.9
November 2013,4646.41,252.05,-3.31,4397.66,129.48,23.27,224.57,1230.37,261.85,197.75,693.48,975.59,473.2,17.89,48.3
December 2013,5569.02,315.87,54.07,5199.09,165.67,23.97,282.64,1465.45,349.09,258.61,668.36,1289.81,521.47,33.97,41.15
January 2014,5476.81,305.74,16.54,5154.53,191.41,29.8,252.01,1533.4,383.66,212.32,668.78,1263.4,419.89,34,28.29
February 2014,4557.82,248.46,48.65,4260.7,154.92,27.07,185.41,1333.15,257.11,289.05,566,921.84,297.7,36.89,75.66
March 2014,5482.58,289.56,41.31,5151.71,180.58,29.98,195.58,1428.28,326.37,255.08,695.12,1221.57,563.72,33.55,94.81
April 2014,5205.23,269.88,53.97,4881.37,197.75,34.5,152.97,1367.34,331.06,180.71,714.1,1159.97,487.74,39.36,94.78
May 2014,5234.85,268.72,17.61,4948.53,205.47,34.32,163.79,1422.59,402.59,133.45,687.29,1139.75,544.69,10.53,85.48
June 2014,4694.41,252.76,76.29,4365.36,191.49,28.63,153.79,1211.23,414.19,100.49,695.49,999.36,316.11,29.11,93.45
July 2014,5159.1,267.72,80.27,4811.1,194.57,29.31,182.95,1250.55,500.88,82.03,726.24,1169.09,391.07,52.34,93.44
August 2014,5114.51,272.01,32.49,4810,176.34,25.92,162.48,1299.24,421.42,126.27,742.21,1226.63,394.23,33.18,98.25
September 2014,4996.63,251.05,12.22,4733.36,178.04,26.15,237.87,1175.69,414.01,168.49,690.59,1199.48,367.53,34.32,90.5
October 2014,5056.01,250.4,86.08,4719.54,157.58,27.65,221.54,1122.44,420.29,160.45,636.22,1104.03,594.78,33.28,93.76
November 2014,4810.24,232.44,91.38,4486.42,138.79,26.23,195.06,1124.92,371.47,168.93,615.27,1136.19,491.48,22.7,86.14
December 2014,5274.36,289.53,-74.22,5059.04,160.12,28.11,186.52,1440.6,392.33,246.1,677.62,1272.48,400.24,13.44,71.83
January 2015,5220.09,302.58,45.45,4872.06,170.12,31.89,195.59,1460.94,413.08,221.42,591.76,1166.59,406.3,14.41,27.67
February 2015,4553.78,237.58,45.35,4270.85,163.4,30.38,185.4,1190.96,342.08,227.1,548.15,972.32,400.09,16.13,73.22
March 2015,4859.17,269.49,49.05,4540.62,168.2,31.14,196.17,1317.55,380.77,226.03,639.44,892.89,419.99,37.86,89.94
April 2015,4849.64,258.77,138.6,4452.27,193.39,32.05,175.09,1302.1,375.3,149.52,696.04,867.33,376.51,39.22,90.97
May 2015,4788.84,257.1,39.51,4492.24,195.79,30.65,218.05,1309.11,441.62,123.2,584.56,993.34,369.57,23.36,97.11
June 2015,4464.07,235.7,21.7,4206.68,188.89,30.91,193.48,1171.15,434.14,97.96,515.27,985.36,347.64,30.56,86.16
July 2015,5474.2,305.65,14.88,5153.67,216.38,40.15,199.94,1524.36,517.51,92.27,621.27,1261.37,389.38,32.1,97.73
August 2015,5510.66,302.63,48.94,5159.09,206.27,37.36,215.25,1479.44,480.37,138.38,643.53,1202.2,456.39,13.88,103.28
September 2015,5362.39,308.25,21.74,5032.4,173.31,33,177.85,1523.34,458.45,175.46,659.98,1198.12,326.95,36.79,88.28
October 2015,5480.99,289.64,13.22,5178.14,195.16,31.69,168.99,1528.47,437.15,163.21,614.9,1347.57,402.65,29.85,88.51
November 2015,5368.6,279.83,37.43,5051.34,171.54,33.5,228.33,1508.06,360.13,183.89,539.93,1299.71,416.76,45.6,78.95
December 2015,5458.38,304.6,37.44,5116.34,165.24,33.66,213.58,1578.02,332.35,232.74,548.9,1337.54,403.77,30.25,68.68
January 2016,5234.02,301.26,50.23,4882.53,178.64,36.91,228.05,1545.33,368.36,221.81,600.25,1154.83,338.19,42.42,16.67
February 2016,4403.03,237.97,23.65,4141.4,150.38,60.87,210.79,1241.76,266.63,231.44,590.24,825.52,362.15,0.04,72.61
March 2016,4584.35,283.63,26.9,4273.82,174.44,27.29,173.54,1324.35,280.32,217.87,529.08,952.03,349.92,0.26,86.8
April 2016,4876.41,260.49,51.3,4564.61,212.32,39.81,193.68,1449.64,359.55,183.71,607.8,949.97,287.28,26.51,89.81
May 2016,5256.55,305.84,42.05,4908.67,228.58,37.77,189.97,1489.79,377.39,167.55,589.8,1155.74,383.88,49.28,86.52
June 2016,5107.23,287.41,25.32,4794.5,211.98,31.85,163.04,1419.39,448.25,85.61,583.97,1141.02,413.25,40.48,92.99
July 2016,5122.57,297.68,54.18,4770.71,210.41,39.75,174.86,1449.21,476.77,89.14,617.57,1133.83,289.6,41.6,86.56
August 2016,5164.9,300.1,-0.4,4865.2,199.86,35.82,172.73,1450.03,433.18,129.49,612.73,1247,292.91,16.23,110.03
September 2016,5084.25,278.7,20.9,4784.65,158.27,35.46,153.51,1444.45,370.05,124.16,574.59,1216.87,413.21,34.15,90.78
October 2016,5126.67,261.88,12.36,4852.43,160.65,37.06,238.3,1437.56,346.8,179.06,566.92,1274.63,329.08,29.84,73.33
November 2016,5159.23,271.29,36.48,4851.45,168.05,34.6,200.85,1537.44,321.7,207.52,542.47,1209.8,343.48,34.77,89.19
December 2016,5276.23,291.19,49.46,4935.58,173.74,35.73,206.33,1554.28,343.47,211.74,566.1,1262.67,293.76,36.83,72.53
January 2017,5171.91,302.38,38.57,4830.97,167.51,35.74,169.91,1561.9,375.1,211.66,553.69,1167.77,353.5,58.02,11.76
February 2017,4353.31,261.08,27.59,4064.65,150.35,30.61,160.2,1359.49,280.67,214.47,560.86,850.03,238.96,27.39,67.79
March 2017,5065.88,259.28,65.11,4741.48,187.92,32.12,187.13,1456.15,400.16,204.74,553.9,1142.39,336.81,33.55,74.42
April 2017,5088.37,283.25,34.6,4770.53,211.76,32.11,168.05,1504.19,457.1,151.38,586.14,1139.25,292.64,25.52,61.34
May 2017,5110.36,286.89,45.22,4778.25,210.25,35.46,258.59,1394.51,486.36,140.04,572.55,1123.8,298.42,36.34,71.59
June 2017,5082.99,289.4,26.01,4767.59,209.67,35.42,185.38,1413.84,515.9,109.33,574.41,1161.04,271.07,57.99,86.55
July 2017,4947.55,287.6,33.35,4626.6,181.14,36.5,170.67,1382.97,503.52,87.54,584.38,1109.03,327.37,30.95,83.54
August 2017,5377.12,297.66,22.01,5057.45,209.71,40.01,187.48,1527.67,542.19,108.15,581.69,1253.2,324.27,23.46,96.31
September 2017,5083.19,283.79,38.26,4761.13,175.31,35.25,166.79,1520.23,436.31,161.96,655.1,1078.46,266.05,32.97,74.23
October 2017,5120.1,277.31,20.35,4822.44,155.04,38.78,233.61,1403.45,439.21,167.3,524.12,1211.91,328.21,59.85,82.62
November 2017,4781.48,273.74,46.04,4461.69,144.96,36.74,214.08,1386.48,313.8,218.15,564.08,1009.17,339.15,26.73,56.58
December 2017,5074.33,287.1,63.38,4723.86,174.55,34.9,178.08,1504.85,280.78,272.04,566.78,1178.53,308.38,30.29,49.9
January 2018,4868.35,285.42,121.08,4461.85,180.53,26.93,197.83,1394.63,333.05,240.04,633.19,1066.06,305.14,46.6,11.04
February 2018,3782.59,228.3,17.47,3536.83,152.5,27.87,106.51,1086.28,265.73,172.04,499.54,784.68,217.44,35.9,59.5
March 2018,4527.49,249.94,10.52,4267.04,182.39,28.41,146.8,1323.54,314.46,247.41,701.9,877.86,216.71,29.82,58.52
April 2018,4812.17,275.99,17.87,4518.31,194.72,25.79,157.73,1395.77,413.21,193.43,714.77,982.45,197.34,29.81,66.08
May 2018,4601.58,266.26,52.15,4283.17,163.57,26.53,234.49,1297.78,440.27,131.2,619.14,859.86,291.53,32.11,93.17
June 2018,4757.03,267.09,33.96,4455.97,201.88,26.45,186.7,1324.19,504.01,76.57,628.06,952.46,287.67,31.22,99.42
July 2018,5080.53,298.53,56.74,4725.26,210.11,28.28,208.18,1433.51,541.43,78.29,743.5,929.03,258.9,43.83,91.06
August 2018,5389.84,306.82,19.46,5063.57,214,27.58,203.8,1528.44,584.78,102.71,643.72,1203.4,283.6,31.74,88.4
September 2018,5219.93,297.24,8.97,4913.72,178.99,24.43,194.88,1521.62,463.99,179.78,620.85,1202.01,240.14,22.68,86.78
October 2018,5346.36,274.79,11.54,5060.03,129.17,30.01,205.87,1436.06,465.75,196.49,529.61,1260.54,271.91,58.99,88.85
November 2018,4940.32,286.48,109.36,4544.47,113.9,25.43,167.32,1309.59,405.07,188.09,555.37,1173.49,208.26,41.82,74.26
December 2018,5371.05,296.78,33.48,5040.79,157.08,25.88,198.53,1523.97,397.2,246.59,553.97,1307.49,252.98,31.18,58.17
January 2019,5264.39,292.81,50.4,4921.17,201.87,33.45,191.42,1571.36,429.35,245.21,641.12,1100.65,227.59,36.71,22.25
February 2019,4623.4,276.48,51.02,4295.9,193.02,22.91,173.6,1328.34,385.72,212.71,604.97,914.7,223.59,15.33,73.92
March 2019,4822.43,261.41,11.63,4549.39,164.42,24.54,222.94,1325.07,406.98,185.03,574.04,1073.52,313.62,31.39,98.36
April 2019,4780.3,275.86,20.83,4483.61,195.97,13.19,154.44,1343.62,377.27,155.82,617.21,1106.21,203.7,26.28,77.42
May 2019,4821.72,267.07,37.3,4517.34,221.37,25,167.39,1386.97,365.1,148.91,597.62,1081.6,183.93,42.57,82.77
June 2019,4324.92,238.61,59.83,4026.47,189.08,19.8,144.93,1163.06,388.63,95.71,508.13,1044.87,139.23,31.68,64.99
July 2019,4989.9,278.43,5.61,4705.87,204.4,20.2,168.22,1322.86,519.13,101.26,610.36,1109.47,321.8,17.19,88.98
August 2019,4995.65,263.9,70.05,4661.69,203.42,15.08,157.89,1155.74,567.88,95.79,614.09,1108.34,364.09,29.12,86.67
September 2019,4910.75,256.24,77.85,4576.66,159.34,21.41,167.22,1333.49,455.42,140.79,680.23,1120.24,159.21,23.28,84.09
October 2019,5275.05,289.75,44.69,4940.61,153.09,15.13,169.29,1492.86,485.57,198.33,648.35,1233.39,239.25,19.29,74.42
November 2019,5051.46,273.5,9.65,4768.31,149.03,25.11,172.51,1515.8,381.87,228.01,581.17,1133.83,250.43,0,67.86
December 2019,5358.82,308.55,46.63,5003.65,178.66,19.41,182.03,1548.56,422.41,249.66,558.59,1265.34,266.35,20.58,70.58
January 2020,5073.19,289.27,60.85,4723.07,177.01,29.86,186.23,1467.56,450.54,245.63,490.97,1122.48,310.99,27.04,9.79
February 2020,4529.48,234.48,14.53,4280.47,140.59,32.99,208.85,1224.41,346.79,240.03,458.15,1007.96,373.07,12.46,61.49
March 2020,4466.16,204.63,-0.35,4261.87,124.15,32.31,209.45,1163.18,250.19,284.44,729.47,946.34,254.57,20.8,48.67
April 2020,3547.51,199.79,101.6,3246.13,157.76,26.9,159.32,836.33,148.38,244.66,561.88,776.84,175.31,26.26,18.14
May 2020,3482.04,170.91,30.27,3280.86,148.92,26.69,158.68,729.28,83.4,151.24,389.12,997.52,388.38,29.73,58.31
June 2020,3185.66,165.48,20.18,3000.01,143.09,25.21,122.5,710.83,81.68,88.94,385.12,894.23,344.65,21.49,52.02
July 2020,3832.64,189.7,16.49,3626.44,146.78,14.21,133.49,1005.2,109.82,67.72,433.36,1161.39,238.1,27.62,71.51
August 2020,3790.19,223.86,2.54,3563.79,148.97,25.8,127.06,1079.4,74.74,72.17,431.81,1142.2,208.28,22.38,70.47
September 2020,4019.01,218.77,20.91,3779.33,128.52,28.03,139.86,1212.48,108.05,78.47,452.55,1191.32,195.65,12.24,70.47
October 2020,4138.41,233.97,43.67,3860.78,133.2,29.35,125.11,1284.69,114.52,114.83,535.99,1097.06,151.12,41.04,70.86
November 2020,3920.28,222.02,33.98,3664.28,143.7,29.81,142.26,1185.74,74.58,156.73,439.24,1036.59,217.41,8.29,51.14
December 2020,4258.03,244.57,38.48,3974.98,156.67,27.29,131.01,1255.5,100.09,157.76,508.3,1116.52,221.9,36.81,54.71
January 2021,3769.71,255.37,32.04,3482.3,137.83,32.99,125.68,1131.8,78.16,175.47,498.64,923.09,194.19,29.76,13.06
February 2021,2848.02,160.77,32.3,2654.94,113.61,31.05,31.17,815.23,72.57,164.66,417.23,626.32,122.74,32.41,50.16
March 2021,3191.21,153.83,37.22,3000.16,127.96,32.6,76.08,947.57,96.7,110.77,405.79,789.34,158.66,27.69,67.93
April 2021,3867.35,177.05,106.01,3584.28,164.71,30.65,132.66,974.68,89.18,139.99,451.69,1026.2,344.16,23.67,68.84
May 2021,4145.19,242.97,72.19,3830.03,174.61,28.1,142.12,1040.03,105.42,153.56,487.68,1126.91,317.73,29.35,83.87
June 2021,4290.73,268.75,15.57,4006.41,160.87,19.05,124.3,1239.49,108.14,118.52,583.23,1164.25,247.58,25.51,84.28
July 2021,4583.12,242.08,38.9,4302.13,198.3,26.33,149.45,1341.24,170.81,99.67,552.46,1205.64,249.09,41.64,78.52
August 2021,4583.78,238.55,14.48,4330.75,182.42,26.71,159.37,1494.27,212.85,122.01,527.54,1103.22,252.42,27.08,51.25
September 2021,4108.33,214.02,88.75,3805.55,122.77,24.42,152.57,1282.58,185.88,124.43,525.44,923.36,235.19,14.97,64.02
October 2021,4098.98,208.65,76.09,3814.23,73.7,26.82,199.2,1200.95,216.69,145.5,542.22,914,220.77,27.85,62.14
November 2021,4570.5,221.54,76.47,4272.49,128.92,25.96,152.4,1444.86,263.18,156.88,479.73,1042.78,293,31.24,61.66
December 2021,4739.69,235.28,44.8,4459.61,121.88,40.9,154.26,1440.77,234.17,222.95,461.8,1089.78,321.08,30.87,40.8
January 2022,4815.54,284.61,107.3,4423.62,141.66,26.04,148.35,1487.88,265.6,252.91,552.82,1031.1,271.02,16.75,17.4
February 2022,4214.64,259.85,35.53,3919.26,141.33,21.61,114.45,1314.47,206.26,191.56,475.27,959.04,224.93,42.06,37.4
March 2022,4794.08,251.54,99.61,4442.93,159.31,33.04,138.59,1447.89,230.05,239.96,527.31,1100.32,255.61,1.65,58.97
April 2022,4817.18,251.11,97.27,4468.8,188.25,25.62,146.12,1395.5,303.91,143.79,468.13,1284.53,246.83,20.65,37.91
May 2022,4956.74,254.18,68.51,4634.06,203.51,22.97,151.07,1407.05,387.35,118.17,488.2,1232.3,370.39,23.83,53.48
June 2022,4206.45,230.01,101.46,3874.98,152.78,23.73,107.94,1215.23,321.33,92.76,485.6,1012.19,189.88,21.54,52.93
July 2022,4343.16,241.09,87.02,4015.05,154.24,40.31,98.74,1220.02,355.57,75.43,526.49,1052.9,200.08,39.34,63.63
August 2022,4608.67,250.29,66.53,4291.85,153.02,36.34,118.04,1298.56,367.61,120.04,532.15,1127.79,255.03,28.38,33.53
September 2022,4469.42,234.41,49.76,4185.25,121.25,37.91,110.46,1247.43,328.81,191.98,405.84,1116.93,344.99,11.41,59.26
October 2022,4699.72,204.32,33.24,4462.15,109.22,35.5,126.24,1265.56,265.71,197.08,569.92,1241.81,389.54,24.9,23.83
November 2022,4349.33,191.71,71.98,4085.64,75.84,45.14,116.34,1149.15,230.49,180.29,468.24,1214.28,240,34.92,54.95
December 2022,4551.95,236.12,49.13,4266.71,81.76,46.38,134.67,1312.94,227.12,238.46,542.55,1212.29,244.42,21.35,27.11
January 2023,4606.16,283.21,79.99,4242.96,103.21,27.14,136.99,1424.22,291.15,239.88,336.15,1230.84,257.21,17.94,6.01
February 2023 ,4166.35,326.56,65.71,3774.08,99.63,32.61,129.61,1277.95,255.3,259.63,384.5,999.07,197.22,16.2,41.81
March 2023,4691.64,259.85,20.36,4411.43,125.98,31.75,252.96,1291.2,289.53,258.11,476.56,1174.73,215.11,20.11,31.72
April 2023,4406.58,284.16,187.13,3935.29,152.49,24.68,147.7,1282.04,280.91,195.75,394.05,1051.81,234.65,33.01,25.92
May 2023,4516.79,228.41,60.92,4227.46,160.28,23.25,145.66,1346.41,325.67,152.2,380.69,1158.83,231.04,35.17,54.25
June 2023,3916.39,250.86,52.66,3612.87,133.94,38.32,119.63,1209.99,311.96,106.83,336.32,960.95,200.1,8.6,28.91
July 2023,4371.69,246,14.72,4110.96,148.17,43.21,130.55,1302.61,390.52,121.05,379.24,1041.8,311.97,31.23,62.46
August 2023,4338.25,247.23,41.6,4049.43,143.48,30.93,110.65,1324.24,338.13,130.94,472.57,991.18,260.1,23.59,9.81
September 2023,4060.84,220.85,33.04,3806.95,115.56,24.43,121.89,1272.33,280.15,114.72,469.44,901.39,230.41,20.57,50.76
October 2023,3486.29,182.06,79.76,3224.47,102.71,31.86,105.88,1090,172.53,160.71,381.01,827.86,131.78,2.05,22.26
November 2023,3902.27,207.29,82.03,3612.96,115.54,45.56,105.72,1182.22,163.57,208.47,372.47,885.2,336.9,0,18.31
December 2023,4513.84,241.42,23.52,4248.89,130.4,32.62,132.1,1417.89,215.22,283.43,431.38,1083.44,305.85,23.11,20.7
January 2024,4251.21,303.36,27.77,3920.08,128.94,19.1,122.41,1334.99,249.36,231.35,485.37,910.97,305.13,14.05,6.51
February 2024,4080.4,205.38,61.25,3813.77,124.03,20.26,141.35,1272.94,224.61,193.29,403.52,998.82,254.86,0,35.94
March 2024,4458.07,232.81,4.93,4220.33,156.9,25.09,103.6,1397.32,212.55,222.62,477.08,1022.02,313.59,34.46,26.88
April 2024,4193.51,207.98,61.81,3923.72,146.78,25.68,157.47,1188.68,227.23,190.24,371.25,1090.08,290.62,28.88,68.37
May 2024,4277.61,191.1,125.13,3961.38,150.08,23.36,156.06,1186.11,305.44,107.02,403.3,1074.75,221.45,28.12,58.8
June 2024,4257.85,253.66,133.31,3870.88,140.77,27.26,133.77,1239.26,324.74,150.35,465.54,992.03,167.01,38.39,69.73
July 2024,4266.26,212.34,85.98,3967.94,128.91,32.15,179.3,1207.02,323.48,123.42,403.18,1038.64,275.63,13.81,62.39
August 2024,4443.76,239.8,53.29,4150.67,140.1,25.21,147.67,1282.86,355.3,149.41,441.17,1099.19,264.52,29.8,23.57
September 2024,3899.19,214.83,17.36,3667,105.3,17.37,90.44,1116.59,309.33,190.25,431.18,870.89,228.11,45.87,45.27
October 2024,3872.47,183.57,73.02,3615.88,68.53,24.11,39.63,1051.29,296.06,222.86,381.51,940.5,198.36,30.83,27.56
November 2024,4785.47,219.99,99.89,4465.59,83.61,40.51,141.35,1307.13,300.96,216.56,378.8,1172.66,383.93,30.16,8.82
December 2024,4824.79,264.35,92.78,4467.66,113.05,17.55,142.57,1413.65,311.58,232.4,359.23,1245.74,434.21,24.4,14.89
January 2025,4876.76,266.55,54.22,4555.99,144.73,20.49,149.07,1423.21,316.85,220.99,396.79,1235.96,431.18,34,0.97
February 2025,3536.32,179.64,6.76,3349.91,103.35,19.51,120.89,1046.39,142.75,239.8,344.49,788.07,290.88,31.03,29.68
March 2025,3482.16,168.25,58.69,3255.22,82.37,22.67,148.9,1014.34,121.69,242.98,389.76,686.13,208.74,43.63,29.84
April 2025,4208.83,192.5,19.58,3996.74,96.89,20.55,143.14,1196.36,250.06,180.04,448.28,1010.38,247.69,31.1,29.17
May 2025,4424.41,204.58,-5.62,4225.45,106.1,17.04,125.12,1322.2,305.89,169.77,355,1079.99,300.3,29.76,53.6
June 2025,4326.13,213.8,132.37,3979.96,126.54,18.14,124.17,1212.75,299.89,179.4,370.79,1050.9,191.11,18.6,49.44
July 2025,4385.67,215.96,171.16,3998.55,115.34,21.66,130.09,1210.48,364.47,99.59,421.38,1022.6,182.5,18.6,52.6
August 2025,4266.24,206.47,12.68,4047.09,115.06,18.96,153.06,1245.45,338.1,120.13,441.36,1016.24,307.93,33.11,11.1
September 2025,3884.38,197.46,48.48,3638.44,101.63,17.11,120.26,1153.61,209.41,157.86,471.39,1002.71,164.77,30.99,36.58
October 2025 [provisional],4021.7,218.52,64.72,3738.46,116.99,19.16,116.13,1219.36,249.75,172.7,327.66,1089.61,180.9,28.32,1.79
