"year","month","day","td_ge","dt","luna_num","saros","eclipse_type","gamma","magnitude","lat_ge","lng_ge","lat_dd_ge","lng_dd_ge","sun_alt","sun_azm","path_width","central_duration","duration_secs","cat_no","canon_plate","julian_date","t0","x0","x1","x2","x3","y0","y1","y2","y3","d0","d1","d2","mu0","mu1","mu2","l10","l11","l12","l20","l21","l22","tan_f1","tan_f2","tmin","tmax","etype","PNS","UNS","NCN","nSer","nSeq","nJLE"
2008,2,7,"03:56:10",65.90000000,100,121,"A",-.95701000,.96498000,"67.6S","150.5W",-67.57723000,-150.49872000,16.30000000,268.80000000,444.50000000,"02m12s",131.70000000,9525.00000000,477.00000000,2454503.66400000,4.00000000,.41244400,.49431280,-.00004200,-.00000660,-.86425300,.21449890,.00013950,-.00000302,-15.51263000,.01237700,.00000300,236.47749000,15.00060000,.00000000,.55741700,-.00012470,-.00001120,.01122300,-.00012400,-.00001120,.00474170,.00471810,-3.00000000,3.00000000,2,-1,0,0,71,60,1
2008,8,1,"10:22:12",66.10000000,106,126,"T",.83071000,1.03942000,"65.7N","72.3E",65.65373000,72.29901000,33.50000000,235.20000000,236.90000000,"02m27s",147.10000000,9526.00000000,477.00000000,2454679.93200000,10.00000000,.10176700,.52857710,-.00006350,-.00000814,.85062700,-.20252250,-.00015120,.00000331,17.86754000,-.01012100,-.00000400,328.42578000,15.00201000,.00000000,.53823200,.00011110,-.00001200,-.00786600,.00011050,-.00001200,.00460650,.00458360,-3.00000000,3.00000000,1,1,0,0,72,47,2
2009,1,26,"07:59:45",66.30000000,112,131,"A",-.28197000,.92824000,"34.1S","70.2E",-34.07438000,70.23395000,73.40000000,337.00000000,280.20000000,"07m54s",473.60000000,9527.00000000,477.00000000,2454857.83300000,8.00000000,.09959900,.47819700,-.00003520,-.00000545,-.26380600,.17630760,.00012550,-.00000216,-18.64790000,.01014500,.00000500,296.86316000,14.99902000,.00000000,.57190800,-.00006970,-.00001010,.02564200,-.00006930,-.00001010,.00474980,.00472620,-3.00000000,3.00000000,2,0,0,0,70,50,4
2009,7,22,"02:36:25",66.50000000,118,136,"T",.06977000,1.07991000,"24.2N","144.1E",24.21987000,144.11816000,85.90000000,197.60000000,258.50000000,"06m39s",398.90000000,9528.00000000,477.00000000,2455034.60900000,3.00000000,.23996100,.55639550,-.00005760,-.00000942,-.00327600,-.17745790,-.00013440,.00000318,20.26424000,-.00787400,-.00000500,223.38821000,15.00100000,.00000000,.53042700,.00000630,-.00001280,-.01563300,.00000630,-.00001270,.00460140,.00457840,-3.00000000,3.00000000,1,0,0,0,71,37,44
2010,1,15,"07:07:39",66.70000000,124,141,"A",.40016000,.91903000,"1.6N","69.3E",1.62377000,69.29205000,66.40000000,164.90000000,333.10000000,"11m08s",667.80000000,9529.00000000,477.00000000,2455211.79700000,7.00000000,-.17327000,.48452040,-.00003710,-.00000538,.36639900,.14049200,.00011700,-.00000170,-21.12929900,.00730700,.00000600,282.67111000,14.99759000,.00000000,.57467600,.00003720,-.00000990,.02839600,.00003700,-.00000990,.00475450,.00473080,-3.00000000,3.00000000,2,0,0,0,70,23,20
2010,7,11,"19:34:38",66.90000000,130,146,"T",-.67877000,1.05804000,"19.7S","121.9W",-19.74772000,-121.87244000,47.10000000,13.50000000,258.60000000,"05m20s",320.20000000,9530.00000000,477.00000000,2455389.31600000,20.00000000,.07406800,.55725160,-.00002760,-.00000897,-.71702600,-.13665790,-.00011210,.00000236,22.03570000,-.00534100,-.00000500,118.61432000,15.00007000,.00000000,.53442300,-.00009080,-.00001240,-.01165600,-.00009040,-.00001230,.00459880,.00457590,-3.00000000,3.00000000,1,-1,0,0,76,27,20
2011,1,4,"08:51:42",67.10000000,136,151,"P",1.06265000,.85757000,"64.7N","20.8E",64.65121000,20.80103000,.00000000,154.50000000,.00000000,"00m00s",.00000000,9531.00000000,477.00000000,2455565.86900000,9.00000000,-.14063100,.51627600,-.00004180,-.00000651,1.05582200,.10513870,.00010640,-.00000145,-22.74122000,.00406200,.00000600,313.81119000,14.99663000,.00000000,.56359200,.00010980,-.00001080,.01736700,.00010920,-.00001070,.00475570,.00473200,-3.00000000,3.00000000,4,1,1,1,72,14,10
2011,6,1,"21:17:18",67.30000000,141,118,"P",1.21301000,.60105000,"67.8N","46.8E",67.78266000,46.78979000,.00000000,5.90000000,.00000000,"00m00s",.00000000,9532.00000000,477.00000000,2455714.38700000,21.00000000,-.20265900,.52627440,.00002970,-.00000662,1.20555790,.02219590,-.00019310,-.00000022,22.09197000,.00552000,-.00000500,135.53766000,14.99975000,.00000000,.55621400,-.00010260,-.00001050,.01002700,-.00010210,-.00001040,.00461120,.00458820,-3.00000000,3.00000000,4,1,1,1,72,68,1
2011,7,1,"08:39:30",67.30000000,142,156,"Pb",-1.49172000,.09706000,"65.2S","28.6E",-65.15753000,28.63977000,.00000000,20.80000000,.00000000,"00m00s",.00000000,9533.00000000,477.00000000,2455743.86100000,9.00000000,-.05930200,.53551130,-.00000390,-.00000733,-1.50203300,-.08818300,-.00008330,.00000136,23.12097900,-.00254000,-.00000600,314.05319000,14.99936000,.00000000,.54776900,-.00012720,-.00001110,.00162400,-.00012660,-.00001100,.00459900,.00457610,-3.00000000,3.00000000,4,-1,-1,-1,69,1,10
2011,11,25,"06:21:24",67.50000000,147,123,"P",-1.05359000,.90466000,"68.6S","82.4W",-68.56853000,-82.42773000,.00000000,165.10000000,.00000000,"00m00s",.00000000,9534.00000000,477.00000000,2455890.76500000,6.00000000,-.31004300,.57290630,.00002050,-.00000941,-1.02766100,-.05788100,.00021050,.00000084,-20.67680900,-.00810000,.00000500,273.29935000,14.99840000,.00000000,.54060300,.00008220,-.00001280,-.00550700,.00008180,-.00001270,.00473600,.00471240,-3.00000000,3.00000000,4,-1,-1,-1,70,53,1
2012,5,20,"23:53:54",67.70000000,153,128,"A",.48279000,.94389000,"49.1N","176.3E",49.09429000,176.27753000,60.90000000,171.00000000,236.90000000,"05m46s",346.30000000,9535.00000000,477.00000000,2456068.49600000,.00000000,-.00226600,.50318280,.00001830,-.00000566,.48552400,.05605380,-.00014110,-.00000056,20.22056000,.00827100,-.00000500,180.85658000,15.00058000,.00000000,.56648700,-.00003120,-.00000970,.02024800,-.00003110,-.00000970,.00462050,.00459740,-3.00000000,3.00000000,2,1,0,0,73,58,2
